Müşteri No,Ad,Soyad,Cinsiyet,Doğum Tarihi,İkamet İli,Meslek,Müşteri Segmenti,İlk Kayıt Tarihi,Adres,Telefon Numarası
50,Omer,Simsek,M,1996-02-19,Erzurum,Yazılım Geliştirici,Standart,2024-08-21,"Mavişehir Mah. 12. Sokak No:33, Erzurum, Türkiye",0530 150 10 50
51,Elif,Dogan,F,2004-01-21,Gaziantep,Tasarımcı,Öğrenci,2022-08-27,"Yeşiltepe Mah. 7. Sokak No:5, Gaziantep, Türkiye",0531 151 10 51
52,Gokhan,Simsek,M,1958-10-08,Izmir,Satış Görevlisi,Standart,2021-09-17,"Çayyolu Mah. 12. Sokak No:5, Izmir, Türkiye",0532 152 10 52
53,Huseyin,Ozdemir,M,1963-01-26,Antalya,Hemşire,Öğrenci,2022-10-05,"Moda Mah. 22. Sokak No:3, Antalya, Türkiye",0533 153 10 53
54,Cem,Aydin,M,2004-05-01,Kocaeli,Öğrenci,Öğrenci,2024-05-05,"Alsancak Mah. 26. Sokak No:22, Kocaeli, Türkiye",0534 154 10 54
55,Mehmet,Aydin,M,1979-04-20,Kocaeli,Tasarımcı,Standart,2021-09-07,"Alsancak Mah. 5. Sokak No:50, Kocaeli, Türkiye",0530 155 10 55
56,Omer,Ozdemir,M,1959-10-19,Antalya,Yönetici,Standart,2024-04-08,"Güzelbahçe Mah. 16. Sokak No:52, Antalya, Türkiye",0531 156 10 56
57,Elif,Ozdemir,F,1959-02-25,Mersin,Tasarımcı,Standart,2024-01-14,"Bahariye Mah. 19. Sokak No:48, Mersin, Türkiye",0532 157 10 57
58,Merve,Kaya,F,1989-08-11,Erzurum,Satış Görevlisi,Standart,2022-05-22,"Mezitli Mah. 13. Sokak No:38, Erzurum, Türkiye",0533 158 10 58
59,Elif,Kurt,F,1993-01-27,Antalya,Satış Görevlisi,Standart,2023-08-01,"Balgat Mah. 16. Sokak No:58, Antalya, Türkiye",0534 159 10 59
60,Seda,Dogan,F,1982-10-17,Istanbul,Hemşire,Standart,2023-03-06,"Beylerbeyi Mah. 23. Sokak No:33, Istanbul, Türkiye",0530 160 10 60
61,Huseyin,Kurt,M,1967-05-07,Adana,Yönetici,Standart,2021-06-19,"Erenköy Mah. 5. Sokak No:57, Adana, Türkiye",0531 161 10 61
62,Huseyin,Koc,M,1965-07-08,Manisa,Yönetici,Standart,2022-08-04,"Göktürk Mah. 18. Sokak No:48, Manisa, Türkiye",0532 162 10 62
63,Yusuf,Sahin,M,1977-01-21,Kocaeli,Mühendis,Standart,2021-05-17,"Kavaklı Mah. 13. Sokak No:47, Kocaeli, Türkiye",0533 163 10 63
64,Fatma,Sahin,F,2004-03-19,Eskisehir,Resepsiyonist,Standart,2021-11-11,"Çamlık Mah. 21. Sokak No:29, Eskisehir, Türkiye",0534 164 10 64
65,Omer,Yilmaz,M,1967-02-20,Denizli,Yazılım Geliştirici,Standart,2021-04-24,"Çengelköy Mah. 2. Sokak No:30, Denizli, Türkiye",0530 165 10 65
66,Yusuf,Ozturk,M,1957-04-28,Balikesir,Doktor,Öğrenci,2022-10-11,"Çamlık Mah. 11. Sokak No:7, Balikesir, Türkiye",0531 166 10 66
67,Deniz,Sahin,F,1961-03-27,Gaziantep,Muhasebeci,Özel Bankacılık,2021-06-28,"Levent Mah. 23. Sokak No:2, Gaziantep, Türkiye",0532 167 10 67
68,Elif,Koc,F,1993-01-01,Konya,Yazılım Geliştirici,Öğrenci,2023-02-22,"Yenimahalle Mah. 1. Sokak No:26, Konya, Türkiye",0533 168 10 68
69,Omer,Sahin,M,1961-05-22,Konya,Hemşire,Standart,2023-12-24,"Bahçelievler Mah. 1. Sokak No:44, Konya, Türkiye",0534 169 10 69
70,Elif,Ozdemir,F,1962-11-21,Izmir,Tasarımcı,Özel Bankacılık,2023-02-20,"Göktürk Mah. 26. Sokak No:55, Izmir, Türkiye",0530 170 10 70
71,Omer,Kilic,M,1989-01-17,Adana,Yazılım Geliştirici,Standart,2023-08-29,"Moda Mah. 26. Sokak No:1, Adana, Türkiye",0531 171 10 71
72,Ece,Koc,F,1999-05-09,Sakarya,Yazılım Geliştirici,Standart,2023-03-27,"Yalı Mah. 30. Sokak No:56, Sakarya, Türkiye",0532 172 10 72
73,Gokhan,Koc,M,1987-05-22,Izmir,Yönetici,Standart,2021-06-04,"Mezitli Mah. 4. Sokak No:54, Izmir, Türkiye",0533 173 10 73
74,Can,Yildiz,M,1971-02-25,Ankara,Satış Görevlisi,Standart,2022-04-21,"Koşuyolu Mah. 5. Sokak No:57, Ankara, Türkiye",0534 174 10 74
75,Burcu,Kaya,F,1960-07-11,Samsun,Yazılım Geliştirici,Standart,2024-04-13,"Beylerbeyi Mah. 3. Sokak No:14, Samsun, Türkiye",0530 175 10 75
76,Gokhan,Sahin,M,1973-01-23,Eskisehir,Yazılım Geliştirici,Standart,2023-09-19,"Karşıyaka Mah. 14. Sokak No:43, Eskisehir, Türkiye",0531 176 10 76
77,Gokhan,Sahin,M,2005-01-02,Balikesir,Hemşire,Özel Bankacılık,2023-04-15,"Çayyolu Mah. 13. Sokak No:28, Balikesir, Türkiye",0532 177 10 77
78,Merve,Kaya,F,1992-11-02,Adana,Doktor,Standart,2023-10-18,"Batıkent Mah. 19. Sokak No:7, Adana, Türkiye",0533 178 10 78
79,Seda,Kaya,F,1985-02-22,Istanbul,Hemşire,Standart,2022-02-15,"Mavişehir Mah. 26. Sokak No:37, Istanbul, Türkiye",0534 179 10 79
80,Emre,Yilmaz,M,2001-01-27,Malatya,Resepsiyonist,Özel Bankacılık,2023-07-12,"Karşıyaka Mah. 5. Sokak No:58, Malatya, Türkiye",0530 180 10 80
81,Ayse,Ozdemir,F,1989-05-22,Mersin,Mühendis,Öğrenci,2023-04-12,"Çayyolu Mah. 10. Sokak No:59, Mersin, Türkiye",0531 181 10 81
82,Ayse,Dogan,F,2001-12-19,Gaziantep,Yönetici,Özel Bankacılık,2023-11-10,"Kandilli Mah. 18. Sokak No:49, Gaziantep, Türkiye",0532 182 10 82
83,Cem,Celik,M,2003-07-10,Gaziantep,Mühendis,Standart,2021-11-15,"Tunalı Mah. 15. Sokak No:28, Gaziantep, Türkiye",0533 183 10 83
84,Ali,Cetin,M,1989-07-16,Malatya,Satış Görevlisi,Standart,2023-04-16,"Ataköy Mah. 3. Sokak No:27, Malatya, Türkiye",0534 184 10 84
85,Can,Polat,M,1982-11-18,Adana,Yazılım Geliştirici,Standart,2022-10-09,"Mavişehir Mah. 3. Sokak No:41, Adana, Türkiye",0530 185 10 85
86,Yusuf,Ozdemir,M,1960-08-13,Sakarya,Yazılım Geliştirici,Standart,2024-01-17,"Alsancak Mah. 22. Sokak No:12, Sakarya, Türkiye",0531 186 10 86
87,Cem,Arslan,M,1988-05-05,Kayseri,Yönetici,Standart,2024-11-01,"Çayyolu Mah. 25. Sokak No:5, Kayseri, Türkiye",0532 187 10 87
88,Mustafa,Dogan,M,1960-12-15,Istanbul,Öğretmen,Özel Bankacılık,2022-10-02,"Maslak Mah. 23. Sokak No:4, Istanbul, Türkiye",0533 188 10 88
89,Gokhan,Ozturk,M,1999-01-05,Samsun,Öğretmen,Özel Bankacılık,2023-09-01,"Göktürk Mah. 21. Sokak No:25, Samsun, Türkiye",0534 189 10 89
90,Ahmet,Cetin,M,1976-07-01,Kayseri,Satış Görevlisi,Standart,2023-05-29,"Nişantaşı Mah. 30. Sokak No:8, Kayseri, Türkiye",0530 190 10 90
91,Omer,Yilmaz,M,1998-12-10,Ankara,Yönetici,Özel Bankacılık,2024-09-25,"Teşvikiye Mah. 24. Sokak No:22, Ankara, Türkiye",0531 191 10 91
92,Mehmet,Kurt,M,1959-01-23,Malatya,Öğrenci,Standart,2021-12-11,"Bahçelievler Mah. 6. Sokak No:25, Malatya, Türkiye",0532 192 10 92
93,Zeynep,Simsek,F,1970-07-05,Sakarya,Resepsiyonist,Standart,2024-05-25,"Mezitli Mah. 30. Sokak No:35, Sakarya, Türkiye",0533 193 10 93
94,Merve,Aslan,F,1970-02-06,Balikesir,Doktor,Özel Bankacılık,2021-12-10,"Zeytinlik Mah. 19. Sokak No:35, Balikesir, Türkiye",0534 194 10 94
95,Emre,Arslan,M,1967-06-13,Eskisehir,Yönetici,Standart,2024-01-20,"Zeytinlik Mah. 10. Sokak No:53, Eskisehir, Türkiye",0530 195 10 95
96,Ayse,Simsek,F,1972-04-17,Eskisehir,Yönetici,Standart,2022-05-05,"Nişantaşı Mah. 27. Sokak No:27, Eskisehir, Türkiye",0531 196 10 96
97,Ece,Demir,F,1964-11-08,Antalya,Öğrenci,Standart,2023-10-24,"Güzelbahçe Mah. 1. Sokak No:16, Antalya, Türkiye",0532 197 10 97
98,Fatma,Aydin,F,1988-06-17,Bursa,Öğretmen,Özel Bankacılık,2023-09-26,"Yenimahalle Mah. 28. Sokak No:29, Bursa, Türkiye",0533 198 10 98
99,Seda,Cetin,F,1986-09-28,Sakarya,Mühendis,Özel Bankacılık,2021-05-11,"Çayyolu Mah. 5. Sokak No:8, Sakarya, Türkiye",0534 199 10 99
100,Seda,Yildiz,F,1955-03-16,Balikesir,Öğrenci,Standart,2024-07-27,"Çengelköy Mah. 19. Sokak No:50, Balikesir, Türkiye",0530 200 11 00
101,Fatma,Ozdemir,F,1981-04-22,Samsun,Tasarımcı,Standart,2022-12-08,"Mezitli Mah. 15. Sokak No:28, Samsun, Türkiye",0531 201 11 01
102,Burcu,Ozdemir,F,1980-05-22,Erzurum,Yazılım Geliştirici,Standart,2021-02-28,"Suadiye Mah. 30. Sokak No:38, Erzurum, Türkiye",0532 202 11 02
103,Can,Yilmaz,M,1955-12-17,Adana,Muhasebeci,Öğrenci,2023-09-10,"Kandilli Mah. 11. Sokak No:44, Adana, Türkiye",0533 203 11 03
104,Ahmet,Kaya,M,1999-09-04,Denizli,Yazılım Geliştirici,Standart,2021-03-17,"Suadiye Mah. 9. Sokak No:60, Denizli, Türkiye",0534 204 11 04
105,Mustafa,Cetin,M,1958-11-03,Malatya,Satış Görevlisi,Öğrenci,2023-02-25,"Karşıyaka Mah. 27. Sokak No:30, Malatya, Türkiye",0530 205 11 05
106,Merve,Demir,F,2001-04-16,Ankara,Hemşire,Özel Bankacılık,2021-09-07,"Levent Mah. 4. Sokak No:9, Ankara, Türkiye",0531 206 11 06
107,Mehmet,Kurt,M,1994-01-08,Manisa,Muhasebeci,Standart,2024-04-17,"Bostanlı Mah. 5. Sokak No:4, Manisa, Türkiye",0532 207 11 07
108,Mehmet,Simsek,M,1978-09-09,Malatya,Satış Görevlisi,Standart,2023-04-23,"Arnavutköy Mah. 4. Sokak No:25, Malatya, Türkiye",0533 208 11 08
109,Ahmet,Celik,M,1958-03-18,Erzurum,Öğrenci,Standart,2021-04-25,"Çengelköy Mah. 7. Sokak No:18, Erzurum, Türkiye",0534 209 11 09
110,Huseyin,Kurt,M,1996-11-16,Denizli,Yönetici,Standart,2021-11-09,"Mavişehir Mah. 6. Sokak No:12, Denizli, Türkiye",0530 210 11 10
111,Cem,Dogan,M,1956-03-03,Sakarya,Yönetici,Standart,2021-03-31,"Caddebostan Mah. 3. Sokak No:50, Sakarya, Türkiye",0531 211 11 11
112,Ece,Koc,F,1983-11-13,Adana,Hemşire,Standart,2022-11-17,"Bahariye Mah. 7. Sokak No:24, Adana, Türkiye",0532 212 11 12
113,Merve,Kurt,F,1974-06-11,Istanbul,Tasarımcı,Standart,2021-05-24,"Batıkent Mah. 6. Sokak No:52, Istanbul, Türkiye",0533 213 11 13
114,Burcu,Yildirim,F,1992-08-21,Manisa,Tasarımcı,Standart,2023-08-09,"Pozcu Mah. 26. Sokak No:41, Manisa, Türkiye",0534 214 11 14
115,Burcu,Kaya,F,1993-05-10,Malatya,Muhasebeci,Standart,2021-06-11,"Kurtuluş Mah. 11. Sokak No:36, Malatya, Türkiye",0530 215 11 15
116,Deniz,Simsek,F,1978-05-27,Manisa,Yönetici,Standart,2021-07-17,"Pozcu Mah. 15. Sokak No:43, Manisa, Türkiye",0531 216 11 16
117,Huseyin,Arslan,M,1980-02-25,Antalya,Öğrenci,Standart,2022-12-30,"Çankaya Mah. 19. Sokak No:13, Antalya, Türkiye",0532 217 11 17
118,Zeynep,Arslan,F,1996-04-25,Balikesir,Yönetici,Standart,2021-01-05,"Çengelköy Mah. 2. Sokak No:25, Balikesir, Türkiye",0533 218 11 18
119,Ayse,Ozdemir,F,1984-09-22,Bursa,Muhasebeci,Standart,2024-02-18,"Emek Mah. 20. Sokak No:9, Bursa, Türkiye",0534 219 11 19
120,Fatma,Ozkan,F,1981-03-10,Balikesir,Mühendis,Standart,2024-03-06,"Maltepe Mah. 28. Sokak No:58, Balikesir, Türkiye",0530 220 11 20
121,Mehmet,Celik,M,1963-02-11,Antalya,Resepsiyonist,Standart,2023-08-09,"Arnavutköy Mah. 29. Sokak No:37, Antalya, Türkiye",0531 221 11 21
122,Ece,Demir,F,1996-04-17,Mersin,Yazılım Geliştirici,Özel Bankacılık,2022-05-19,"Kandilli Mah. 15. Sokak No:5, Mersin, Türkiye",0532 222 11 22
123,Merve,Koc,F,1970-04-18,Ankara,Öğrenci,Özel Bankacılık,2022-12-30,"Mavişehir Mah. 4. Sokak No:39, Ankara, Türkiye",0533 223 11 23
124,Ece,Aslan,F,1978-01-19,Gaziantep,Öğretmen,Standart,2021-06-26,"Akçay Mah. 22. Sokak No:52, Gaziantep, Türkiye",0534 224 11 24
125,Ayse,Dogan,F,1989-12-11,Konya,Öğretmen,Standart,2023-03-07,"Nişantaşı Mah. 1. Sokak No:28, Konya, Türkiye",0530 225 11 25
126,Seda,Aslan,F,1957-02-19,Sakarya,Tasarımcı,Özel Bankacılık,2021-07-27,"Maslak Mah. 18. Sokak No:39, Sakarya, Türkiye",0531 226 11 26
127,Gokhan,Ozturk,M,2004-12-22,Kayseri,Resepsiyonist,Standart,2021-03-27,"Kandilli Mah. 28. Sokak No:8, Kayseri, Türkiye",0532 227 11 27
128,Emre,Yildiz,M,1973-06-06,Izmir,Mühendis,Standart,2024-07-26,"Tunalı Mah. 16. Sokak No:36, Izmir, Türkiye",0533 228 11 28
129,Yusuf,Cetin,M,1968-11-27,Sakarya,Satış Görevlisi,Standart,2023-10-15,"Güzelbahçe Mah. 6. Sokak No:2, Sakarya, Türkiye",0534 229 11 29
130,Deniz,Demir,F,1991-11-23,Erzurum,Tasarımcı,Standart,2021-10-14,"Göztepe Mah. 25. Sokak No:2, Erzurum, Türkiye",0530 230 11 30
131,Merve,Polat,F,1999-07-04,Ankara,Yazılım Geliştirici,Özel Bankacılık,2022-06-06,"Emek Mah. 14. Sokak No:40, Ankara, Türkiye",0531 231 11 31
132,Merve,Aslan,F,1983-12-05,Kayseri,Resepsiyonist,Standart,2023-12-15,"Mezitli Mah. 6. Sokak No:19, Kayseri, Türkiye",0532 232 11 32
133,Ayse,Koc,F,1955-05-06,Konya,Hemşire,Özel Bankacılık,2022-11-15,"Koşuyolu Mah. 7. Sokak No:20, Konya, Türkiye",0533 233 11 33
134,Can,Kilic,M,1964-02-07,Adana,Satış Görevlisi,Standart,2023-05-01,"Arnavutköy Mah. 21. Sokak No:4, Adana, Türkiye",0534 234 11 34
135,Elif,Ozturk,F,1965-05-19,Kocaeli,Mühendis,Standart,2022-12-15,"Maltepe Mah. 21. Sokak No:37, Kocaeli, Türkiye",0530 235 11 35
136,Burcu,Celik,F,1964-05-08,Ankara,Hemşire,Özel Bankacılık,2023-11-25,"Moda Mah. 21. Sokak No:9, Ankara, Türkiye",0531 236 11 36
137,Ayse,Ozkan,F,1972-10-04,Manisa,Doktor,Standart,2024-04-17,"Suadiye Mah. 15. Sokak No:25, Manisa, Türkiye",0532 237 11 37
138,Merve,Kurt,F,1981-03-11,Denizli,Resepsiyonist,Özel Bankacılık,2024-05-10,"Fenerbahçe Mah. 18. Sokak No:41, Denizli, Türkiye",0533 238 11 38
139,Huseyin,Yilmaz,M,1957-11-13,Bursa,Doktor,Standart,2022-07-25,"Balgat Mah. 28. Sokak No:38, Bursa, Türkiye",0534 239 11 39
140,Elif,Ozturk,F,1957-01-02,Bursa,Tasarımcı,Öğrenci,2021-04-10,"Bostanlı Mah. 9. Sokak No:18, Bursa, Türkiye",0530 240 11 40
141,Fatma,Aslan,F,1968-04-16,Malatya,Muhasebeci,Standart,2024-02-19,"Çiğli Mah. 23. Sokak No:31, Malatya, Türkiye",0531 241 11 41
142,Mehmet,Koc,M,1987-12-10,Denizli,Yazılım Geliştirici,Standart,2021-10-16,"Yalı Mah. 25. Sokak No:14, Denizli, Türkiye",0532 242 11 42
143,Cem,Koc,M,1993-07-24,Ankara,Doktor,Standart,2024-08-05,"Ulus Mah. 28. Sokak No:32, Ankara, Türkiye",0533 243 11 43
144,Seda,Kaya,F,1983-12-06,Adana,Hemşire,Özel Bankacılık,2023-03-26,"Koşuyolu Mah. 21. Sokak No:58, Adana, Türkiye",0534 244 11 44
145,Seda,Dogan,F,1972-06-08,Erzurum,Yazılım Geliştirici,Öğrenci,2023-12-10,"Ataköy Mah. 6. Sokak No:34, Erzurum, Türkiye",0530 245 11 45
146,Merve,Ozdemir,F,1976-11-06,Balikesir,Tasarımcı,Standart,2023-07-16,"Yenimahalle Mah. 9. Sokak No:39, Balikesir, Türkiye",0531 246 11 46
147,Burcu,Sahin,F,1990-11-11,Gaziantep,Hemşire,Standart,2021-10-09,"Erenköy Mah. 9. Sokak No:11, Gaziantep, Türkiye",0532 247 11 47
148,Burcu,Demir,F,1974-07-02,Trabzon,Muhasebeci,Standart,2023-10-22,"Çankaya Mah. 19. Sokak No:53, Trabzon, Türkiye",0533 248 11 48
149,Omer,Dogan,M,1996-09-13,Kayseri,Resepsiyonist,Özel Bankacılık,2021-08-29,"Çamlık Mah. 16. Sokak No:22, Kayseri, Türkiye",0534 249 11 49
150,Ayse,Celik,F,1955-02-10,Kayseri,Yönetici,Standart,2021-04-11,"Bostanlı Mah. 17. Sokak No:13, Kayseri, Türkiye",0530 250 11 50
151,Mehmet,Polat,M,1986-12-08,Adana,Yönetici,Özel Bankacılık,2022-10-12,"Kemerburgaz Mah. 3. Sokak No:26, Adana, Türkiye",0531 251 11 51
152,Merve,Arslan,F,1974-02-16,Ankara,Resepsiyonist,Standart,2023-11-30,"Fenerbahçe Mah. 7. Sokak No:48, Ankara, Türkiye",0532 252 11 52
153,Can,Polat,M,2001-08-16,Bursa,Öğrenci,Özel Bankacılık,2024-05-30,"Alsancak Mah. 9. Sokak No:53, Bursa, Türkiye",0533 253 11 53
154,Yusuf,Yildirim,M,1958-09-10,Eskisehir,Tasarımcı,Özel Bankacılık,2024-01-31,"Çamlık Mah. 3. Sokak No:28, Eskisehir, Türkiye",0534 254 11 54
155,Elif,Koc,F,2003-07-01,Samsun,Muhasebeci,Standart,2022-08-15,"Barbaros Mah. 9. Sokak No:59, Samsun, Türkiye",0530 255 11 55
