Hesap No,Müşteri No,Hesap Türü,Bakiye,Bakiye (TL),Bakiye (USD),Bakiye (EUR),Şube Kodu,Hesap Açılış Tarihi,Hesap Durumu
50,24,Vadesiz Mevduat,126606.39,126606.39,4645.74,6844.03,21,2022-08-31,Aktif
51,24,Vadesiz Mevduat,30870.75,30870.75,1584.17,1126.69,32,2024-05-14,Aktif
52,25,Vadesiz Mevduat,9132.4,9132.4,1001.62,15.77,23,2021-05-18,Aktif
53,26,Vadesiz Mevduat,68961.15,68961.15,465.37,6134.17,38,2021-01-06,Aktif
54,26,Vadesiz Mevduat,22631.71,22631.71,1010.08,2249.97,19,2024-01-14,Aktif
55,26,Vadesiz Mevduat,86794.22,86794.22,8015.16,8137.49,33,2022-05-02,Aktif
56,27,Vadesiz Mevduat,47749.58,47749.58,1012.96,646.91,23,2023-06-21,Aktif
57,27,Vadeli Mevduat,82425.44,82425.44,10600.55,7190.3,35,2021-09-14,Aktif
58,28,Vadesiz Mevduat,94053.85,94053.85,11570.78,6824.28,2,2022-08-08,Aktif
59,28,Vadesiz Mevduat,65446.04,65446.04,4535.41,315.81,38,2021-06-05,Aktif
60,28,Döviz Hesabı,75376.32,75376.32,4882.61,3923.6,17,2022-05-22,Aktif
61,29,Vadeli Mevduat,124878.86,124878.86,8404.99,14924.95,1,2021-05-01,Aktif
62,29,Vadesiz Mevduat,84580.54,84580.54,11295.97,507.91,8,2023-07-30,Aktif
63,29,Vadeli Mevduat,80377.15,80377.15,2283.93,9183.34,7,2023-04-19,Aktif
64,30,Vadesiz Mevduat,40515.53,40515.53,5167.51,3282.92,3,2022-04-15,Aktif
65,31,Vadesiz Mevduat,100543.9,100543.9,5626.93,9428.95,4,2023-03-23,Aktif
66,32,Vadesiz Mevduat,20189.12,20189.12,2509.75,453.72,27,2023-10-04,Aktif
67,32,Vadesiz Mevduat,128742.11,128742.11,4037.0,5156.06,17,2024-03-03,Aktif
68,32,Vadeli Mevduat,15393.04,15393.04,1297.15,239.79,30,2024-04-29,Aktif
69,33,Vadesiz Mevduat,71389.14,71389.14,10179.47,8412.26,1,2022-11-10,Aktif
70,33,Vadeli Mevduat,60720.28,60720.28,6755.07,70.61,20,2022-01-29,Aktif
71,34,Vadeli Mevduat,51915.83,51915.83,1814.08,2949.54,22,2022-01-24,Aktif
72,34,Vadesiz Mevduat,39804.53,39804.53,2143.33,988.83,29,2021-03-20,Aktif
73,35,Vadesiz Mevduat,95072.19,95072.19,1045.21,5531.92,35,2024-10-29,Aktif
74,36,Vadesiz Mevduat,29764.67,29764.67,49.99,805.23,13,2024-09-05,Aktif
75,37,Vadesiz Mevduat,100509.1,100509.1,10865.61,3691.4,34,2022-02-23,Aktif
76,37,Vadesiz Mevduat,104640.46,104640.46,10422.8,7506.53,8,2021-10-02,Kapalı
77,37,Vadesiz Mevduat,29379.68,29379.68,2605.34,2196.62,36,2022-04-05,Aktif
78,38,Vadeli Mevduat,58718.98,58718.98,5518.75,1596.02,21,2022-11-03,Aktif
79,38,Vadesiz Mevduat,38055.82,38055.82,2951.44,107.83,36,2022-03-01,Aktif
80,38,Vadesiz Mevduat,148647.32,148647.32,17569.9,16670.35,24,2024-04-03,Aktif
81,39,Vadeli Mevduat,83889.9,83889.9,10705.84,2650.4,36,2021-04-28,Aktif
82,39,Vadeli Mevduat,50762.77,50762.77,1051.82,5997.89,13,2021-11-18,Aktif
83,40,Vadeli Mevduat,51496.89,51496.89,4208.68,1387.27,24,2024-06-20,Aktif
84,41,Vadesiz Mevduat,48017.42,48017.42,2232.84,3041.22,11,2021-02-10,Aktif
85,41,Vadesiz Mevduat,54532.24,54532.24,2416.76,5622.8,8,2022-04-10,Aktif
86,41,Vadeli Mevduat,34676.44,34676.44,2682.06,1485.25,13,2021-04-23,Aktif
87,42,Vadesiz Mevduat,32506.72,32506.72,927.06,165.51,16,2023-06-08,Aktif
88,43,Vadesiz Mevduat,68088.91,68088.91,9051.93,2535.65,25,2022-06-23,Aktif
89,44,Vadesiz Mevduat,59533.32,59533.32,7192.36,2798.45,18,2024-08-24,Aktif
90,44,Vadesiz Mevduat,108233.16,108233.16,7593.79,8385.45,28,2023-06-11,Aktif
91,45,Vadeli Mevduat,84222.63,84222.63,978.14,152.88,24,2022-08-13,Aktif
92,46,Vadesiz Mevduat,99680.19,99680.19,8339.9,2325.03,29,2024-03-21,Aktif
93,47,Vadesiz Mevduat,84691.64,84691.64,7481.67,4582.48,6,2023-09-02,Aktif
94,48,Vadesiz Mevduat,137014.07,137014.07,19283.31,10149.38,40,2023-10-07,Aktif
95,48,Döviz Hesabı,27977.84,27977.84,748.54,1030.48,6,2023-07-08,Aktif
96,48,Vadesiz Mevduat,29734.19,29734.19,3493.92,3023.91,8,2022-07-01,Kapalı
97,49,Vadesiz Mevduat,120600.6,120600.6,12407.66,11141.77,39,2022-10-25,Kapalı
98,50,Vadeli Mevduat,109043.29,109043.29,8723.58,11990.94,21,2021-09-21,Aktif
99,50,Vadesiz Mevduat,31178.94,31178.94,2724.53,791.28,23,2022-08-02,Kapalı
100,50,Vadeli Mevduat,116965.83,116965.83,15157.22,12444.05,38,2021-08-09,Aktif
101,51,Vadesiz Mevduat,115365.71,115365.71,11740.98,4913.15,16,2022-10-19,Aktif
102,51,Vadeli Mevduat,62572.64,62572.64,4145.27,146.58,32,2021-04-20,Aktif
103,52,Vadesiz Mevduat,8167.88,8167.88,726.94,888.01,6,2022-12-06,Aktif
104,52,Vadesiz Mevduat,96921.11,96921.11,13407.45,1326.83,37,2024-07-13,Aktif
105,53,Vadesiz Mevduat,47336.8,47336.8,5705.55,1153.2,40,2021-12-09,Aktif
106,53,Vadesiz Mevduat,35587.48,35587.48,2585.01,1232.54,25,2021-05-24,Aktif
107,54,Vadesiz Mevduat,79526.35,79526.35,9423.93,550.72,14,2022-08-17,Kapalı
108,54,Döviz Hesabı,84318.34,84318.34,9964.09,10071.39,33,2023-03-02,Kapalı
109,55,Vadeli Mevduat,128363.67,128363.67,16840.25,3821.25,37,2023-03-06,Aktif
110,55,Vadesiz Mevduat,60047.28,60047.28,4747.25,4801.88,12,2024-06-11,Aktif
111,56,Vadesiz Mevduat,10221.6,10221.6,373.38,163.08,36,2022-08-27,Kapalı
112,56,Vadeli Mevduat,89947.93,89947.93,10909.83,5305.4,30,2023-12-18,Aktif
113,56,Döviz Hesabı,34945.53,34945.53,165.98,469.69,34,2022-08-18,Aktif
114,57,Vadeli Mevduat,68519.92,68519.92,10181.76,4968.78,36,2024-01-18,Aktif
115,57,Vadeli Mevduat,78707.97,78707.97,9438.62,9268.24,9,2024-08-17,Aktif
116,57,Vadesiz Mevduat,113389.8,113389.8,11409.69,1068.21,16,2024-01-12,Aktif
117,58,Vadeli Mevduat,137033.44,137033.44,1144.92,2334.48,7,2024-09-08,Aktif
118,58,Vadesiz Mevduat,54627.21,54627.21,3936.4,1192.22,29,2023-06-28,Aktif
119,58,Vadeli Mevduat,83655.92,83655.92,611.62,5986.11,38,2022-01-01,Aktif
120,59,Döviz Hesabı,6051.87,6051.87,145.97,678.71,27,2021-05-26,Aktif
121,60,Vadesiz Mevduat,43504.69,43504.69,5406.58,4784.1,23,2022-09-18,Aktif
122,60,Vadesiz Mevduat,127411.03,127411.03,15559.18,13298.25,1,2023-04-29,Aktif
123,60,Vadeli Mevduat,28582.69,28582.69,2986.62,2168.54,13,2023-01-20,Aktif
124,61,Vadesiz Mevduat,51156.53,51156.53,5310.45,592.05,22,2024-02-15,Aktif
125,61,Vadesiz Mevduat,85381.52,85381.52,1185.62,6681.93,34,2021-09-26,Aktif
126,62,Vadesiz Mevduat,61199.33,61199.33,348.09,2668.01,21,2024-06-06,Aktif
127,63,Vadesiz Mevduat,65734.33,65734.33,6857.46,2525.99,34,2023-07-20,Aktif
128,64,Döviz Hesabı,100018.25,100018.25,5982.11,1157.22,24,2022-10-26,Aktif
129,64,Vadesiz Mevduat,127184.04,127184.04,8014.55,2120.43,19,2022-09-28,Aktif
130,65,Vadesiz Mevduat,84538.66,84538.66,7127.51,8198.93,9,2024-01-10,Aktif
131,65,Vadesiz Mevduat,119618.35,119618.35,12140.31,7660.15,34,2023-11-18,Aktif
132,65,Vadesiz Mevduat,142648.66,142648.66,7329.49,10871.94,30,2023-03-06,Aktif
133,66,Vadesiz Mevduat,87927.55,87927.55,7419.86,799.79,8,2021-08-15,Aktif
134,67,Vadesiz Mevduat,99464.66,99464.66,3251.54,7965.4,2,2023-03-28,Aktif
135,68,Vadesiz Mevduat,53129.4,53129.4,4235.88,2351.81,26,2021-07-18,Aktif
136,69,Vadeli Mevduat,49043.71,49043.71,6261.02,5040.04,21,2021-08-03,Aktif
137,70,Vadesiz Mevduat,128550.75,128550.75,13347.57,8439.5,34,2021-11-02,Aktif
138,70,Vadeli Mevduat,119931.25,119931.25,6894.3,3245.75,18,2023-02-22,Aktif
139,70,Vadesiz Mevduat,56783.97,56783.97,2455.77,2671.19,24,2024-01-31,Aktif
140,71,Vadesiz Mevduat,55907.45,55907.45,5108.46,1183.03,31,2024-03-06,Aktif
141,71,Döviz Hesabı,82134.24,82134.24,9970.58,8474.4,15,2023-10-16,Aktif
142,71,Vadeli Mevduat,146607.12,146607.12,338.9,17205.26,2,2024-03-14,Aktif
143,72,Döviz Hesabı,129442.36,129442.36,2472.3,153.46,37,2024-08-28,Aktif
144,73,Vadeli Mevduat,32031.29,32031.29,4547.69,814.59,29,2021-07-11,Aktif
145,73,Vadesiz Mevduat,90492.84,90492.84,4993.64,7899.87,20,2024-06-22,Aktif
146,73,Vadeli Mevduat,35653.64,35653.64,793.1,1528.45,32,2024-05-06,Aktif
147,74,Vadesiz Mevduat,45088.01,45088.01,5023.74,4438.98,20,2024-08-10,Aktif
148,74,Vadesiz Mevduat,20969.5,20969.5,2817.74,2025.4,7,2021-10-16,Aktif
149,74,Vadeli Mevduat,48951.76,48951.76,4120.68,4012.89,22,2024-08-17,Aktif
150,75,Vadesiz Mevduat,148433.2,148433.2,13284.79,13249.0,28,2024-10-04,Aktif
151,76,Vadesiz Mevduat,109054.44,109054.44,12671.86,6198.99,19,2024-05-29,Kapalı
152,77,Vadesiz Mevduat,132355.57,132355.57,12358.51,8374.78,37,2021-10-17,Aktif
153,78,Vadeli Mevduat,92516.5,92516.5,13272.73,7193.96,31,2021-11-03,Aktif
154,78,Vadesiz Mevduat,144549.06,144549.06,450.78,12918.75,5,2022-09-16,Aktif
155,78,Vadesiz Mevduat,58680.77,58680.77,8044.15,681.21,12,2021-09-26,Kapalı
156,79,Vadeli Mevduat,119005.74,119005.74,17447.23,9561.98,26,2024-02-29,Aktif
157,79,Vadeli Mevduat,139524.04,139524.04,17150.39,951.11,13,2024-07-04,Aktif
158,79,Vadesiz Mevduat,60680.59,60680.59,1673.28,6860.31,20,2021-06-12,Aktif
159,80,Vadeli Mevduat,94771.14,94771.14,8948.19,10275.2,40,2022-04-14,Kapalı
160,81,Vadesiz Mevduat,101348.06,101348.06,8569.49,3490.92,8,2021-01-05,Aktif
161,82,Vadesiz Mevduat,22506.75,22506.75,1470.53,774.4,30,2022-08-30,Aktif
162,82,Vadeli Mevduat,58946.64,58946.64,8600.93,5527.39,3,2024-04-24,Aktif
163,82,Vadesiz Mevduat,87927.69,87927.69,1766.9,2747.52,40,2021-08-08,Kapalı
164,83,Vadeli Mevduat,81155.79,81155.79,10518.07,1474.04,20,2023-05-27,Aktif
165,83,Vadeli Mevduat,124102.21,124102.21,3687.15,10580.26,31,2022-09-07,Kapalı
166,84,Vadeli Mevduat,46349.77,46349.77,5842.19,3841.98,22,2022-08-19,Aktif
167,84,Vadesiz Mevduat,32001.4,32001.4,299.65,792.74,37,2021-11-04,Aktif
168,85,Vadeli Mevduat,84004.65,84004.65,1071.12,9042.53,26,2023-05-27,Kapalı
169,86,Vadeli Mevduat,106931.64,106931.64,10791.76,4258.27,21,2021-02-25,Aktif
170,86,Vadesiz Mevduat,74952.62,74952.62,8107.88,644.14,4,2021-05-27,Aktif
171,87,Döviz Hesabı,91388.97,91388.97,8442.15,10827.15,35,2022-01-27,Aktif
172,87,Vadeli Mevduat,107218.8,107218.8,14083.79,8254.39,8,2023-06-22,Aktif
173,87,Vadeli Mevduat,146842.17,146842.17,9028.66,8822.31,7,2021-12-07,Aktif
174,88,Vadeli Mevduat,57754.86,57754.86,2884.8,226.61,9,2022-10-05,Aktif
175,89,Vadesiz Mevduat,101606.14,101606.14,13037.73,10696.57,10,2021-01-12,Aktif
176,90,Döviz Hesabı,57286.88,57286.88,8457.6,2036.67,15,2022-06-22,Kapalı
177,90,Vadeli Mevduat,8424.6,8424.6,964.17,606.61,11,2021-07-21,Aktif
178,90,Vadesiz Mevduat,53417.99,53417.99,579.19,2461.81,23,2023-12-04,Aktif
179,91,Vadesiz Mevduat,136528.21,136528.21,6013.34,12674.72,36,2022-06-19,Aktif
180,91,Vadeli Mevduat,134684.32,134684.32,17426.08,12584.91,40,2022-03-06,Aktif
181,92,Vadesiz Mevduat,10710.28,10710.28,690.24,611.94,31,2022-11-26,Kapalı
182,93,Vadeli Mevduat,29403.83,29403.83,702.85,3329.64,18,2023-08-19,Aktif
183,93,Döviz Hesabı,19891.85,19891.85,1436.05,418.99,19,2024-03-02,Aktif
184,94,Vadesiz Mevduat,53080.77,53080.77,7286.79,3447.73,21,2022-05-01,Aktif
185,94,Vadeli Mevduat,108465.75,108465.75,12783.13,421.31,10,2021-12-04,Kapalı
186,95,Vadesiz Mevduat,46380.59,46380.59,5109.65,297.22,16,2024-06-23,Kapalı
187,96,Vadesiz Mevduat,50188.74,50188.74,3801.9,3523.92,10,2022-10-27,Aktif
188,97,Vadesiz Mevduat,132404.16,132404.16,8801.19,14255.82,10,2024-08-31,Aktif
189,97,Döviz Hesabı,32085.29,32085.29,3268.45,1458.57,9,2023-03-13,Aktif
190,97,Vadeli Mevduat,51218.74,51218.74,7183.31,2887.37,32,2021-07-12,Aktif
191,98,Vadesiz Mevduat,50223.71,50223.71,1731.12,5390.35,6,2021-06-23,Aktif
192,99,Vadesiz Mevduat,10789.01,10789.01,418.83,750.33,14,2023-03-19,Aktif
193,100,Vadesiz Mevduat,61361.59,61361.59,6776.33,2149.31,25,2024-03-24,Aktif
194,100,Vadesiz Mevduat,37587.44,37587.44,5127.5,3182.88,8,2023-02-02,Aktif
195,101,Vadesiz Mevduat,119527.6,119527.6,7004.64,14004.5,21,2023-07-15,Aktif
196,101,Vadesiz Mevduat,29617.89,29617.89,2900.52,652.21,22,2024-10-14,Aktif
197,101,Vadesiz Mevduat,62192.48,62192.48,3910.11,127.15,34,2021-07-11,Aktif
198,102,Vadesiz Mevduat,130850.92,130850.92,7624.37,3518.06,14,2022-12-20,Kapalı
199,103,Vadesiz Mevduat,24639.94,24639.94,1691.42,365.72,27,2023-02-18,Kapalı
200,103,Vadeli Mevduat,88932.46,88932.46,4847.05,10252.97,4,2022-06-07,Aktif
201,103,Vadesiz Mevduat,93250.64,93250.64,10422.21,4696.58,1,2024-02-18,Aktif
202,104,Vadesiz Mevduat,49633.44,49633.44,298.29,721.43,21,2023-04-27,Aktif
203,104,Vadeli Mevduat,148667.91,148667.91,15711.02,13284.35,24,2021-02-09,Aktif
204,105,Vadeli Mevduat,63094.51,63094.51,7174.08,4200.06,17,2022-10-17,Aktif
205,105,Vadeli Mevduat,135740.48,135740.48,4651.81,2574.69,14,2023-07-21,Aktif
206,106,Vadeli Mevduat,108046.79,108046.79,5985.02,11026.18,26,2023-11-02,Aktif
207,106,Vadesiz Mevduat,50409.51,50409.51,2002.76,10.6,26,2024-01-11,Aktif
208,106,Vadesiz Mevduat,105906.83,105906.83,15378.14,10580.49,30,2022-10-28,Aktif
209,107,Vadeli Mevduat,118209.21,118209.21,5732.75,9549.62,31,2024-09-27,Aktif
210,107,Vadesiz Mevduat,86515.53,86515.53,8943.03,9357.5,19,2022-09-04,Aktif
211,107,Vadeli Mevduat,43977.04,43977.04,4886.07,3020.9,30,2024-09-18,Aktif
212,108,Vadesiz Mevduat,25133.55,25133.55,1687.63,2790.46,2,2022-02-26,Aktif
213,109,Vadeli Mevduat,51698.66,51698.66,6568.48,481.18,6,2022-06-24,Aktif
214,109,Vadeli Mevduat,23642.11,23642.11,1088.33,1533.2,18,2022-04-22,Aktif
215,110,Vadeli Mevduat,33025.05,33025.05,4773.91,3957.23,2,2022-05-05,Aktif
216,111,Vadesiz Mevduat,107383.04,107383.04,11146.79,11601.67,23,2022-04-28,Aktif
217,111,Vadesiz Mevduat,97557.81,97557.81,3652.2,8867.91,33,2021-12-03,Aktif
218,111,Vadesiz Mevduat,43719.56,43719.56,6529.8,1287.62,34,2023-05-04,Aktif
219,112,Vadesiz Mevduat,105506.13,105506.13,3233.82,1306.89,25,2023-01-27,Kapalı
220,113,Vadesiz Mevduat,14647.47,14647.47,76.99,332.23,22,2023-09-11,Aktif
221,114,Vadesiz Mevduat,103986.34,103986.34,11386.89,6311.82,34,2024-07-18,Aktif
222,114,Vadesiz Mevduat,63786.97,63786.97,8448.56,384.23,23,2022-12-12,Aktif
223,115,Vadesiz Mevduat,91196.06,91196.06,8755.33,3289.87,36,2024-07-27,Kapalı
224,115,Vadesiz Mevduat,4272.14,4272.14,279.32,252.86,6,2021-01-23,Aktif
225,115,Vadesiz Mevduat,112612.06,112612.06,5030.24,10077.68,16,2023-09-29,Aktif
226,116,Vadesiz Mevduat,125739.74,125739.74,1140.04,6994.1,4,2024-04-15,Kapalı
227,116,Vadesiz Mevduat,139318.01,139318.01,17469.94,14532.55,21,2024-02-04,Aktif
228,116,Vadesiz Mevduat,127359.5,127359.5,10514.06,764.26,24,2023-11-30,Aktif
229,117,Vadeli Mevduat,77182.76,77182.76,6449.65,225.0,6,2021-11-13,Aktif
230,117,Vadeli Mevduat,86064.1,86064.1,4135.95,7611.69,14,2023-04-22,Aktif
231,117,Vadesiz Mevduat,66588.6,66588.6,2865.63,7649.64,34,2022-05-24,Kapalı
232,118,Vadesiz Mevduat,62934.9,62934.9,127.13,1647.38,28,2022-01-25,Aktif
233,118,Vadesiz Mevduat,45051.03,45051.03,998.46,4209.73,19,2021-09-23,Aktif
234,118,Vadeli Mevduat,140537.99,140537.99,17067.56,10527.05,37,2021-10-06,Aktif
235,119,Döviz Hesabı,110958.31,110958.31,14465.8,5751.84,37,2024-01-08,Aktif
236,119,Vadeli Mevduat,39294.72,39294.72,4253.6,338.92,2,2024-04-04,Kapalı
237,119,Vadesiz Mevduat,103516.56,103516.56,9941.43,9656.65,9,2024-08-13,Aktif
238,120,Vadesiz Mevduat,39275.07,39275.07,74.54,1078.22,25,2021-05-28,Aktif
239,120,Vadesiz Mevduat,129492.78,129492.78,1509.92,12197.11,35,2023-08-26,Aktif
240,121,Vadesiz Mevduat,108500.25,108500.25,4168.47,265.59,14,2021-12-24,Aktif
241,121,Vadesiz Mevduat,5733.36,5733.36,730.63,468.7,24,2023-06-30,Aktif
242,122,Vadesiz Mevduat,34909.8,34909.8,3912.57,1364.5,25,2022-11-23,Aktif
243,123,Vadeli Mevduat,119370.64,119370.64,13833.42,4998.65,14,2023-11-27,Aktif
244,123,Vadesiz Mevduat,119452.17,119452.17,17662.69,10712.15,8,2022-07-06,Aktif
245,123,Vadesiz Mevduat,57586.05,57586.05,6771.47,4996.84,13,2024-08-07,Aktif
246,124,Vadeli Mevduat,102105.29,102105.29,3178.0,2725.6,23,2021-03-11,Aktif
247,124,Vadeli Mevduat,49217.68,49217.68,449.76,4678.8,8,2024-08-07,Aktif
248,125,Vadesiz Mevduat,131067.76,131067.76,99.29,15132.33,21,2022-11-27,Aktif
249,125,Döviz Hesabı,50466.9,50466.9,687.42,5258.38,12,2024-05-30,Aktif
250,126,Vadesiz Mevduat,39126.43,39126.43,596.89,2862.69,5,2024-09-18,Aktif
251,126,Vadesiz Mevduat,90962.39,90962.39,4243.03,1654.56,15,2021-03-01,Aktif
252,126,Vadesiz Mevduat,66795.41,66795.41,1145.68,6553.11,13,2021-08-15,Aktif
253,127,Vadeli Mevduat,42183.17,42183.17,5634.98,1217.69,39,2022-11-16,Aktif
254,127,Vadeli Mevduat,111340.94,111340.94,7596.96,3623.77,35,2021-09-04,Aktif
255,127,Vadeli Mevduat,119368.71,119368.71,135.37,10827.81,3,2022-06-26,Aktif
256,128,Vadesiz Mevduat,81485.84,81485.84,2649.59,4801.98,4,2024-10-12,Aktif
257,128,Vadesiz Mevduat,26411.53,26411.53,2258.29,1981.41,34,2023-05-03,Aktif
258,129,Vadeli Mevduat,29151.83,29151.83,4024.47,1709.49,34,2024-04-07,Kapalı
259,129,Vadesiz Mevduat,32905.82,32905.82,4411.87,1402.75,34,2022-01-26,Aktif
260,129,Döviz Hesabı,89785.45,89785.45,11201.92,4799.98,11,2021-07-03,Aktif
261,130,Döviz Hesabı,15673.31,15673.31,642.08,353.76,3,2022-11-18,Aktif
262,130,Vadeli Mevduat,39428.77,39428.77,2411.62,3112.76,35,2021-04-14,Aktif
263,131,Vadesiz Mevduat,11211.56,11211.56,1534.78,565.36,37,2022-08-17,Aktif
264,131,Vadesiz Mevduat,147827.28,147827.28,1697.54,12181.41,30,2024-06-14,Aktif
265,131,Vadesiz Mevduat,80672.46,80672.46,4974.49,6402.56,33,2023-07-07,Aktif
266,132,Vadesiz Mevduat,19132.77,19132.77,1338.72,327.67,27,2022-10-01,Aktif
267,133,Vadeli Mevduat,140355.8,140355.8,13886.02,9608.87,17,2022-06-25,Kapalı
268,134,Vadeli Mevduat,84820.27,84820.27,3991.69,4073.08,30,2023-05-20,Aktif
269,135,Vadesiz Mevduat,84362.74,84362.74,6526.19,2961.45,6,2023-09-18,Aktif
270,135,Vadeli Mevduat,87008.1,87008.1,6487.21,7431.32,28,2022-10-16,Kapalı
271,135,Vadesiz Mevduat,111145.22,111145.22,6908.32,10781.4,24,2022-08-06,Aktif
272,136,Vadeli Mevduat,71053.77,71053.77,7753.2,974.23,5,2022-05-02,Aktif
273,136,Vadeli Mevduat,28098.93,28098.93,2170.6,2364.78,23,2022-05-14,Aktif
274,137,Vadesiz Mevduat,68064.48,68064.48,7935.21,1279.9,23,2021-08-26,Aktif
275,137,Vadesiz Mevduat,69085.8,69085.8,3032.86,1122.89,24,2023-02-15,Aktif
276,138,Vadesiz Mevduat,80892.1,80892.1,9571.1,1632.51,30,2023-11-22,Aktif
277,139,Vadesiz Mevduat,7332.24,7332.24,109.47,596.15,40,2021-06-27,Aktif
278,140,Döviz Hesabı,51169.76,51169.76,5979.81,3767.79,3,2023-12-11,Aktif
279,141,Vadeli Mevduat,137752.56,137752.56,9823.11,3522.58,13,2023-12-21,Aktif
280,141,Vadeli Mevduat,104206.93,104206.93,4658.71,5558.32,21,2022-01-29,Aktif
